SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
BENGALASM, EQ, 27-Jul-2026,6202,6202,6312,6175,6274,6215.5,6232.4,278,17.33,83,180,64.75
BEPL, EQ, 27-Jul-2026,121.81,122.9,122.9,113.75,114.79,114.51,116.33,4964378,5775.08,29880,1702389,34.29
BERGEPAINT, EQ, 27-Jul-2026,497.95,502.1,506.9,499.55,503.9,504,502.46,173146,869.99,11514,83500,48.23
BESTAGRO, EQ, 27-Jul-2026,15.16,15.2,15.99,15.2,15.99,15.91,15.76,427040,67.28,1573,291282,68.21
BETA, EQ, 27-Jul-2026,2315.6,2365,2365,2225.6,2228,2230.7,2260.96,29565,668.45,4413,17363,58.73
BEWLTD, SM, 27-Jul-2026,58.9,58.5,59.5,56.2,58.5,58.85,57.75,24500,14.15,44,15000,61.22
BFINVEST, EQ, 27-Jul-2026,460.05,467,468,457.65,459,460.1,463.19,26054,120.68,964,14476,55.56
BFSI, EQ, 27-Jul-2026,26.95,27.26,27.26,26.96,27.2,27.12,27.06,264968,71.69,1139,180878,68.26
BFUTILITIE, EQ, 27-Jul-2026,580.4,599,599.1,575.95,576.4,577.85,583.5,43437,253.46,2111,19651,45.24
BGLOBAL, BZ, 27-Jul-2026,3.21,3.35,3.35,3.05,3.1,3.12,3.08,108528,3.35,75, -, -
BGRENERGY, BE, 27-Jul-2026,291.1,296.65,296.65,279.8,281.1,280.25,284.32,63353,180.13,600, -, -
BHADORA, ST, 27-Jul-2026,86.5,87.15,88.95,87.15,88.5,88.5,88.2,3600,3.18,3,2400,66.67
BHAGCHEM, EQ, 27-Jul-2026,263.45,263.45,267.95,260.35,266,263.3,263.78,49552,130.71,1157,30928,62.42
BHAGERIA, BE, 27-Jul-2026,228.98,228.9,233,217.55,218.7,218.11,221.64,58952,130.66,519, -, -
BHAGYANGR, BE, 27-Jul-2026,410.9,410,431,391.5,431,426.7,420.98,278017,1170.41,3009, -, -
BHANDARI, BE, 27-Jul-2026,2.89,2.9,2.94,2.83,2.88,2.87,2.88,180704,5.21,214, -, -
BHARATCOAL, EQ, 27-Jul-2026,34.99,35.17,35.44,35.08,35.25,35.25,35.24,4197348,1479.07,12039,1863556,44.4
BHARATFORG, EQ, 27-Jul-2026,2151.6,2168,2189,2151.6,2185,2181.3,2169.7,704988,15296.09,28671,389996,55.32
BHARATGEAR, BE, 27-Jul-2026,121.41,121.93,127.48,120.01,127.48,127.48,125.33,38845,48.68,404, -, -
BHARATRAS, EQ, 27-Jul-2026,1261.1,1277,1299,1264,1271,1273.8,1281.33,6619,84.81,1209,4110,62.09
BHARATSE, EQ, 27-Jul-2026,218.14,216.3,219.78,207.75,213,211.85,211.95,441091,934.9,13571,200611,45.48
BHARATWIRE, EQ, 27-Jul-2026,193.31,196.9,205,195.35,204.8,202.91,199.68,124310,248.23,2883,62403,50.2
BHARTIARTL, EQ, 27-Jul-2026,1898.2,1892,1917,1890,1904,1905.3,1901.65,5230299,99462.17,91860,3777560,72.22
BHARTIHEXA, EQ, 27-Jul-2026,1607.6,1630,1630,1601.1,1608,1614.3,1616.69,175287,2833.85,7680,140165,79.96
BHEL, EQ, 27-Jul-2026,417.3,420,422.4,412.9,415.05,415.95,417.08,9042974,37716.54,98830,4173421,46.15
BI, EQ, 27-Jul-2026,59.27,59,61,58.12,58.21,58.46,59.11,4056,2.4,100,2507,61.81
BIGBLOC, EQ, 27-Jul-2026,47.75,47.81,48.39,46.8,46.8,46.98,47.29,43396,20.52,839,20640,47.56
BIKAJI, EQ, 27-Jul-2026,630.7,626.15,643.2,626.15,638.1,641.25,640.54,54084,346.43,7999,32997,61.01
BIKEWO, ST, 27-Jul-2026,59.25,59.25,62.2,59,62.2,62.2,61.67,146000,90.05,54,140000,95.89
BIL, EQ, 27-Jul-2026,729.9,680,757,680,757,745.8,738.59,854,6.31,90,686,80.33
BILVYAPAR, BE, 27-Jul-2026,3.99,4,4.18,3.85,4.18,4.13,4.03,28677,1.16,70, -, -
BIMETAL, EQ, 27-Jul-2026,667.4,667,672.45,650,672.45,650.8,652.23,1196,7.8,22,1099,91.89
BIOCON, EQ, 27-Jul-2026,433.65,437,437.55,434.05,436.8,436.25,435.52,2570388,11194.54,24916,1612004,62.71
BIOFILCHEM, EQ, 27-Jul-2026,32.07,33.45,33.45,32.11,32.32,32.82,32.82,6289,2.06,100,3570,56.77
BIOPOL, SM, 27-Jul-2026,97.45,97.4,97.8,94.35,97.3,97.3,96.21,36000,34.64,19,28800,80
